#,Brand,Model,Year Start,Year End,BR,Sub Model,Doors,Seats,X,First Sample Container,Fitting Confirm
001,CHEVROLET,CAPTIVA,2019,2024,,,4,7,X1654,,Confirmed
002,CHEVROLET,TRAVERSE,2018,2025,,N2,4,7,X1438/X3066,R-97,Confirmed
003,DODGE,CHARGER,2016,2020,,N1,4,5,X1483,Container #76,Confirmed
004,DODGE,DURANGO,2013,2020,,N2,4,7,X1666,Container #88,Confirmed
005,FORD,EVEREST,2023,2025,,,4,7,X2079,,Confirmed
006,FORD,EXPEDITION,2008,2017,,,4,7,X0660,,Confirmed
007,FORD,EXPEDITION,2018,2024,,,4,7,X1567,Container #71,Confirmed
008,FORD,EXPLORER,2006,2011,,N1,4,7,X0649,,Confirmed
009,FORD,EXPLORER,2012,2015,,N1,4,7,X0644,,Confirmed
010,FORD,EXPLORER,2016,2019,,N1,4,7,X1173,,Confirmed
011,FORD,EXPLORER,2020,2025,,N1,4,7,X1752,,Confirmed
012,FORD,TAURUS,2008,2017,,,4,5,X0667,,Confirmed
013,FORD,TAURUS,2018,2022,,,4,5,X1784,,Confirmed
014,FORD,TAURUS,2023,2025,,,4,5,X3052,,Confirmed
015,FORD,TERRITORY,2022,2024,,,4,5,X1949,,Confirmed
016,FORD,VICTORIA,1998,2014,,,4,5,X0672,,Confirmed
017,GMC,ACADIA,2008,2016,,N1,4,7,X0828,Container #88,Confirmed
018,GMC,ACADIA,2017,2023,,,4,7,X1406,Container #88,Pending
019,GMC,SIERRA 2D,2010,2014,,,2,3,X1619,Container #91,Confirmed
020,GMC,YUKON,2003,2006,,N1,4,7,X0833,,Confirmed
021,GMC,YUKON,2007,2014,,N1,4,7,X0831,,Confirmed
022,GMC,YUKON,2015,2020,,,4,7,X1263,,Confirmed
023,GMC,YUKON,2021,2025,,,4,7,X1702,,Confirmed
024,HONDA,ACCORD,2008,2012,,,4,5,X0540,,Confirmed
025,HONDA,ACCORD,2013,2017,,,4,5,X0538,,Confirmed
026,HONDA,ACCORD,2018,2023,BR2,,4,5,X1486,,Confirmed
027,HONDA,ACCORD,2024,2025,BR2,,4,5,X2047,,Confirmed
028,HONDA,CIVIC ,2012,2015,,N2,4,5,X0545,Container #97,Confirmed
029,HONDA,CR-V,2012,2016,,,4,5,X0526,Container #97/JED,Pending
030,HONDA,HR-V,2022,2025,,N3/N4,4,5,X1898/X3089,Container #93,Confirmed
031,HYUNDAI,ACCENT,2006,2010,,,4,5,X0395,Container #97,Pending
032,HYUNDAI,ACCENT,2011,2017,BR1,N2,4,5,X0393,,Confirmed
033,HYUNDAI,ACCENT,2018,2023,,N1,4,5,X1561,,Confirmed
034,HYUNDAI,ACCENT,2024,2025,,N1,4,5,X2033,,Confirmed
035,HYUNDAI,CRETA,2016,2019,,N3,4,5,X1208,,Confirmed
036,HYUNDAI,CRETA,2020,2024,BR2,N1,4,5,X1739,,Confirmed
037,HYUNDAI,ELANTRA,2012,2015,BR1,N1,4,5,X0396,,Confirmed
038,HYUNDAI,ELANTRA,2012,2015,BR2,N2,4,5,X0397,,Confirmed
